name,longitude,latitude
0point,-3.0064964	,51.709745	
1point,-3.0064964	,51.709745	
2point,-3.0064964	,51.709745	
3point,-3.0064964	,51.709745	
4point,-3.0064964	,51.709745	
5point,-3.0064964	,51.709745	
6point,-3.0064964	,51.709745	
7point,-3.0064964	,51.709745	
8point,-3.0064964	,51.709745	
9point,-3.0064964	,51.709745	
10point,-3.0064964	,51.709745	
11point,-3.0064975	,51.7097462	
12point,-3.0064995	,51.7097486	
13point,-3.0064989	,51.7097478	
14point,-3.0064976	,51.7097465	
15point,-3.0064973	,51.7097462	
16point,-3.0064975	,51.7097463	
17point,-3.0064976	,51.7097463	
18point,-3.0064976	,51.7097463	
19point,-3.0064976	,51.7097463	
20point,-3.0064976	,51.7097464	
21point,-3.0064976	,51.7097464	
22point,-3.0064976	,51.7097464	
23point,-3.0064976	,51.7097465	
24point,-3.0064978	,51.7097468	
25point,-3.0064979	,51.7097468	
26point,-3.0064979	,51.7097469	
27point,-3.0064979	,51.7097469	
28point,-3.0064979	,51.709747	
29point,-3.0064979	,51.709747	
30point,-3.0064979	,51.709747	
31point,-3.0064979	,51.709747	
32point,-3.0064956	,51.709747	
33point,-3.0064819	,51.709747	
34point,-3.0064558	,51.7097482	
35point,-3.0064158	,51.7097483	
36point,-3.0063619	,51.7097459	
37point,-3.0063057	,51.7097429	
38point,-3.0062631	,51.7097331	
39point,-3.0062406	,51.7097133	
40point,-3.0062306	,51.7096839	
41point,-3.0062303	,51.7096492	
42point,-3.0062457	,51.7096174	
43point,-3.0062775	,51.7095883	
44point,-3.0063228	,51.7095592	
45point,-3.0063684	,51.7095268	
46point,-3.0064113	,51.7094891	
47point,-3.0064525	,51.7094447	
48point,-3.0064946	,51.7093942	
49point,-3.0065378	,51.7093388	
50point,-3.0065828	,51.7092796	
51point,-3.0066294	,51.7092175	
52point,-3.0066775	,51.709153	
53point,-3.0067244	,51.7090899	
54point,-3.0067651	,51.7090338	
55point,-3.0067995	,51.7089862	
56point,-3.0068273	,51.7089475	
57point,-3.0068487	,51.7089185	
58point,-3.0068585	,51.7089059	
59point,-3.0068691	,51.7088933	
